loc,lloc,scloc,comments,single_comments,multi_comments,blanks,h1,h2,n1,n2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,LargeClass
469,247,371,10,17,28,53,11,104,67,109,115,176,734.8994785,1204.806249,5.764423077,6945.012945,385.8340525,0.401602083,1
141,84,93,1,1,16,31,2,4,3,4,6,7,10,18.09473751,1,18.09473751,1.005263195,0.006031579,1
473,259,290,51,51,73,59,13,92,56,105,105,161,648.2734163,1080.993528,7.418478261,8019.32699,445.5181661,0.360331176,1
1267,721,883,78,79,144,161,12,286,175,333,298,508,2376.742752,4175.337608,6.986013986,29168.96693,1620.498163,1.391779203,1
174,114,126,16,18,11,19,8,40,23,45,48,68,236.8771238,379.77745,4.5,1708.998525,94.94436251,0.126592483,1
495,244,299,46,45,88,63,9,94,56,103,103,159,644.6606771,1063.153584,4.930851064,5242.25198,291.2362211,0.354384528,1
149,80,116,14,14,8,11,9,31,18,33,40,51,182.1094106,271.4183328,4.790322581,1300.181369,72.23229826,0.090472778,1
59,27,37,0,1,11,10,1,2,1,2,3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1
238,137,190,13,13,10,25,7,45,24,45,52,69,266.7848738,393.3303406,3.5,1376.656192,76.48089955,0.131110114,1
135,89,108,6,6,4,17,4,17,10,18,21,28,77.4868683,122.9848878,2.117647059,260.438586,14.46881033,0.040994963,1
171,141,132,5,2,9,28,10,65,44,87,75,131,424.6731888,815.9752485,6.692307692,5460.757432,303.3754129,0.271991749,1
90,18,85,1,1,0,4,3,7,5,10,10,15,24.40637196,49.82892142,2.142857143,106.7762602,5.932014455,0.01660964,1
120,67,94,4,4,14,8,7,19,12,24,26,36,100.3621072,169.2158299,4.421052632,748.1120899,41.56178277,0.056405277,1
83,44,51,17,17,0,15,3,18,9,18,21,27,79.81353753,118.5925704,1.5,177.8888556,9.882714201,0.039530857,1
116,69,67,12,12,19,18,1,4,2,4,5,6,8,13.93156857,0.5,6.965784285,0.386988016,0.004643856,1
42,20,31,4,0,5,6,1,2,1,2,3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1
195,121,136,18,15,22,22,6,30,17,33,36,50,162.7164929,258.4962501,3.3,853.0376252,47.39097918,0.086165417,1
328,201,220,25,29,43,36,10,98,69,137,108,206,681.4608457,1391.506825,6.989795918,9726.348729,540.3527072,0.463835608,1
253,166,180,14,11,34,28,9,37,20,38,46,58,221.2790995,320.3665935,4.621621622,1480.613175,82.25628751,0.106788864,1
59,32,43,3,6,4,6,6,17,14,27,23,41,84.99664331,185.4660402,4.764705882,883.6911327,49.09395182,0.061822013,1
195,124,109,14,27,37,22,6,14,9,16,20,25,68.81274391,108.0482024,3.428571429,370.4509796,20.58060998,0.036016067,1
294,187,150,15,43,57,44,6,21,14,25,27,39,107.7484409,185.4406126,3.571428571,662.2879021,36.79377234,0.061813538,1
149,113,91,9,31,4,23,9,34,19,38,43,57,201.5030616,309.297091,5.029411765,1555.582428,86.42124602,0.10309903,1
649,388,315,44,85,155,94,8,42,29,44,50,73,250.4773318,412.0015019,4.19047619,1726.482484,95.91569355,0.137333834,1
317,215,189,14,37,33,58,18,91,59,108,109,167,667.2679623,1130.286782,10.68131868,12072.95332,670.719629,0.376762261,1
134,95,83,8,18,10,23,7,17,12,24,24,36,89.13835276,165.05865,4.941176471,815.5839178,45.31021765,0.05501955,1
581,310,333,104,107,71,70,15,109,65,124,124,189,796.3354503,1314.343103,8.532110092,11214.12005,623.0066695,0.438114368,1
305,190,174,14,15,65,51,10,49,29,51,59,80,308.3400633,470.6114439,5.204081633,2449.100372,136.0611318,0.156870481,1
246,99,96,77,79,11,60,2,5,2,5,7,7,13.60964047,19.65148445,1,19.65148445,1.091749136,0.006550495,1
654,344,442,92,93,78,41,10,228,147,287,238,434,1819.118204,3426.350909,6.293859649,21564.97173,1198.053985,1.14211697,1
59,45,43,8,10,0,6,5,12,6,12,17,18,54.62919048,73.57433114,2.5,183.9358279,10.2186571,0.024524777,1
279,95,235,17,16,14,14,6,17,13,25,23,38,84.99664331,171.8953543,4.411764706,758.3618573,42.1312143,0.057298451,1
149,102,107,19,16,5,21,6,47,25,49,53,74,276.575451,423.8661136,3.127659574,1325.708909,73.65049492,0.141288705,1
85,47,54,5,5,12,14,7,22,12,23,29,35,117.7589801,170.0293348,3.659090909,622.1527934,34.56404408,0.056676445,1
293,195,246,8,6,14,27,8,79,54,104,87,158,521.9986791,1017.985072,5.265822785,5360.528989,297.807166,0.339328357,1
47,36,35,1,1,9,2,3,8,3,8,11,11,28.7548875,38.05374781,1.5,57.08062171,3.17114565,0.012684583,1
279,95,235,17,16,14,14,6,17,13,25,23,38,84.99664331,171.8953543,4.411764706,758.3618573,42.1312143,0.057298451,1
64,45,47,4,4,6,7,4,13,6,13,17,19,56.10571634,77.66179398,2,155.323588,8.62908822,0.025887265,1
1817,1091,1318,182,211,184,104,6,91,53,101,97,154,607.7190873,1016.386578,3.32967033,3384.232231,188.0129017,0.338795526,1
368,111,277,13,13,52,26,7,73,50,96,80,146,471.5086773,923.0015019,4.602739726,4248.33568,236.0186489,0.307667167,1
222,107,106,1,1,79,36,6,26,15,28,32,43,137.7212077,215,3.230769231,694.6153846,38.58974359,0.071666667,1
290,166,204,58,58,0,28,8,100,67,122,108,189,688.385619,1276.673738,4.88,6230.167841,346.1204356,0.425557913,1
361,226,223,41,50,53,35,13,93,59,103,106,162,656.2474858,1089.923114,7.198924731,7846.274458,435.9041365,0.363307705,1
275,176,184,33,37,19,35,10,57,34,62,67,96,365.6940118,582.3445623,5.438596491,3167.137093,175.9520607,0.194114854,1
143,114,89,2,24,4,26,11,56,37,74,67,111,363.2656234,673.3359001,7.267857143,4893.709131,271.8727295,0.2244453,1
110,8,80,12,10,7,13,1,6,4,8,7,12,15.509775,33.68825906,0.666666667,22.45883938,1.247713299,0.01122942,1
308,99,252,29,29,0,27,2,16,8,16,18,24,66,100.0782,1,100.0782,5.559900002,0.0333594,1
37,33,33,0,0,0,4,1,2,1,2,3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1
1085,230,983,29,19,0,83,9,67,37,68,76,105,434.9573008,656.0323889,4.567164179,2996.207627,166.4559793,0.218677463,1
481,238,363,40,29,27,62,7,113,65,128,120,193,790.3317072,1333.029885,3.96460177,5284.932641,293.607369,0.444343295,1
509,180,340,12,12,115,42,1,12,6,12,13,18,43.01955001,66.60791493,0.5,33.30395746,1.850219859,0.022202638,1
219,186,184,8,8,0,27,2,4,3,5,6,8,10,20.67970001,1.25,25.84962501,1.436090278,0.006893233,1
305,237,218,37,48,0,39,5,13,9,14,18,23,59.71535681,95.90827503,2.692307692,258.2145866,14.34525481,0.031969425,1
819,575,540,150,156,0,123,12,43,34,58,55,92,276.3489345,531.8850936,8.093023256,4304.558432,239.1421351,0.177295031,1
345,210,259,8,6,32,48,2,14,7,14,16,21,55.30296891,84,1,84,4.666666667,0.028,1
197,113,108,0,0,67,22,1,2,1,2,3,3,2,4.754887502,0.5,2.377443751,0.132080208,0.001584963,1
415,83,322,5,5,68,20,5,13,8,16,18,24,59.71535681,100.0782,3.076923077,307.9329232,17.10738462,0.0333594,1
219,181,192,1,1,0,26,3,8,5,8,11,13,28.7548875,44.97261104,1.5,67.45891656,3.747717587,0.01499087,1
1256,615,988,124,73,11,184,2,28,19,38,30,57,136.6059378,279.6927639,1.357142857,379.5830368,21.08794649,0.093230921,1
470,209,311,54,54,45,60,2,2,2,3,4,5,4,10,1.5,15,0.833333333,0.003333333,1
502,325,337,56,56,58,51,2,10,5,10,12,15,35.21928095,53.77443751,1,53.77443751,2.987468751,0.017924813,1
191,220,149,3,3,0,39,1,2,2,2,3,4,2,6.339850003,0.5,3.169925001,0.176106945,0.002113283,1
536,395,401,42,37,9,89,15,170,132,246,185,378,1318.199818,2846.862192,10.85294118,30896.82791,1716.490439,0.948954064,1
681,367,370,64,49,152,110,15,167,103,191,182,294,1291.681976,2207.291624,8.577844311,18933.8039,1051.877995,0.735763875,1
643,592,552,19,19,0,72,4,107,71,129,111,200,729.3369675,1358.883173,2.411214953,3276.559427,182.0310793,0.452961058,1
510,388,395,33,33,0,82,5,80,62,116,85,178,517.3638881,1140.871587,3.625,4135.659502,229.7588612,0.380290529,1
530,404,397,48,48,0,85,5,51,30,58,56,88,300.9033329,511.0472331,2.843137255,1452.977428,80.7209682,0.170349078,1
449,362,351,29,28,0,70,4,63,33,65,67,98,384.5686352,594.4767407,2.063492063,1226.698036,68.14989091,0.198158914,1
78,14,72,7,0,0,6,5,30,146,284,35,430,158.8163583,2205.591697,23.66666667,52199.0035,2899.944639,0.735197232,1
43,9,36,6,1,0,6,5,24,22,35,29,57,121.6487405,276.9049167,3.645833333,1009.549176,56.08606531,0.092301639,1
43,9,36,6,1,0,6,5,33,29,48,38,77,178.0746464,404.0904185,3.636363636,1469.419704,81.63442799,0.134696806,1
53,14,48,9,0,0,5,3,16,31,50,19,81,68.7548875,344.0821286,4.6875,1612.884978,89.60472099,0.114694043,1
49,20,40,4,4,0,5,2,5,12,14,7,26,13.60964047,72.99122797,2.8,204.3754383,11.35419102,0.024330409,1
4469,2363,4049,14,15,0,405,12,251,395,516,263,911,2043.876982,7323.455199,12.33466135,90332.33983,5018.463324,2.441151733,1
475,199,235,25,25,143,72,16,152,93,185,168,278,1165.684982,2055.064244,9.736842105,20009.83606,1111.657559,0.685021415,1
290,152,198,27,35,20,37,7,90,100,141,97,241,603.9182631,1590.578995,5.483333333,8721.674822,484.5374901,0.530192998,1
292,158,221,6,5,5,61,5,285,184,315,290,499,2335.732802,4081.774636,2.763157895,11278.58781,626.5882117,1.360591545,1
353,174,258,39,39,0,56,7,29,26,35,36,61,160.5329333,315.3654251,4.224137931,1332.147054,74.00816968,0.105121808,1
220,124,107,1,11,62,40,2,6,4,8,8,12,17.509775,36,1.333333333,48,2.666666667,0.012,1
134,106,111,0,0,0,23,1,4,4,4,5,8,8,18.57542476,0.5,9.28771238,0.515984021,0.006191808,1
335,271,266,22,22,0,47,4,35,52,57,39,109,187.5249056,576.1088419,3.257142857,1876.468799,104.2482666,0.192036281,1
242,203,213,0,0,0,29,4,35,27,54,39,81,187.5249056,428.1175797,3.085714286,1321.048532,73.3915851,0.14270586,1
286,234,246,0,0,0,40,4,35,27,54,39,81,187.5249056,428.1175797,3.085714286,1321.048532,73.3915851,0.14270586,1
809,482,479,64,58,125,147,19,210,164,319,229,483,1700.702181,3786.33543,14.43095238,54640.42628,3035.579238,1.26211181,1
575,280,315,44,40,99,121,19,171,131,247,190,378,1349.163403,2861.40542,13.72222222,39264.84104,2181.380058,0.953801807,1
1128,701,742,126,120,85,181,20,286,215,403,306,618,2420.161764,5103.065687,14.09090909,71906.83468,3994.824149,1.701021896,1
462,306,302,36,35,58,67,16,181,123,244,197,367,1421.472106,2797.293018,10.78453039,30167.49155,1675.971753,0.932431006,1
382,224,226,25,24,68,64,16,87,49,100,103,149,624.5360841,996.2885786,9.195402299,9161.274286,508.9596825,0.332096193,1
386,141,135,2,4,158,89,11,60,39,72,71,111,392.4671835,682.6219303,6.6,4505.30474,250.2947078,0.227540643,1
420,180,313,79,79,0,28,6,137,122,193,143,315,987.9401704,2255.359471,4.226277372,9531.774699,529.5430388,0.75178649,1
1569,1166,1178,164,155,0,236,18,343,583,1047,361,1630,2963.826865,13848.24369,27.47230321,380443.1496,21135.73054,4.616081231,1
382,263,297,14,17,0,68,8,41,51,65,49,116,243.6596322,651.3063419,6.341463415,4130.235339,229.4575188,0.217102114,1
278,231,233,7,7,0,38,6,114,65,127,120,192,794.4592366,1326.122994,3.342105263,4432.042639,246.2245911,0.442040998,1
